Name,influences,influenced,Philosopher Name,Birth
https://en.wikipedia.org/wiki/Muhammad_Abduh,['https://en.wikipedia.org/wiki/Jamal_ad-Din_al-Afghani'],"['https://en.wikipedia.org/wiki/Rashid_Rida', 'https://en.wikipedia.org/wiki/Abul_Kalam_Azad', 'https://en.wikipedia.org#cite_note-6', 'https://en.wikipedia.org/wiki/Muhammad_Asad', 'https://en.wikipedia.org/wiki/Mahmoud_Taleghani', 'https://en.wikipedia.org#cite_note-7']",Muhammad Abduh,1849
https://en.wikipedia.org/wiki/Peter_Abelard,"['https://en.wikipedia.org/wiki/Aristotle', 'https://en.wikipedia.org/wiki/Porphyry_(philosopher)', 'https://en.wikipedia.org/wiki/Anicius_Manlius_Severinus_Boethius']","['https://en.wikipedia.org/wiki/John_of_Salisbury', 'https://en.wikipedia.org#cite_note-Guilfoy-3', 'https://en.wikipedia.org/wiki/William_of_Ockham', 'https://en.wikipedia.org/wiki/Arnold_of_Brescia', 'https://en.wikipedia.org/wiki/William_of_Ockham']",Peter Abelard,1079
https://en.wikipedia.org/wiki/Adelard_of_Bath,"['https://en.wikipedia.org/wiki/Plato', 'https://en.wikipedia.org/wiki/Euclid', 'https://en.wikipedia.org/wiki/Islamic_philosophy']","['https://en.wikipedia.org/wiki/William_of_Conches', 'https://en.wikipedia.org/wiki/Hugh_of_Saint_Victor', 'https://en.wikipedia.org/wiki/Isaac_of_Stella', 'https://en.wikipedia.org/wiki/Roger_Bacon', 'https://en.wikipedia.org/wiki/Robert_Grosseteste']",Adelard of Bath,1080
https://en.wikipedia.org/wiki/Theodor_Adorno,"['https://en.wikipedia.org/wiki/Immanuel_Kant', 'https://en.wikipedia.org/wiki/G._W._F._Hegel', 'https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard', 'https://en.wikipedia.org/wiki/Friedrich_Nietzsche', 'https://en.wikipedia.org/wiki/Edmund_Husserl', 'https://en.wikipedia.org/wiki/Karl_Marx', 'https://en.wikipedia.org/wiki/Sigmund_Freud', 'https://en.wikipedia.org/wiki/Georg_Luk%C3%A1cs', 'https://en.wikipedia.org/wiki/Ernst_Bloch', 'https://en.wikipedia.org/wiki/Max_Weber', 'https://en.wikipedia.org/wiki/Georg_Simmel', 'https://en.wikipedia.org/wiki/Max_Horkheimer', 'https://en.wikipedia.org/wiki/Hans_Cornelius', 'https://en.wikipedia.org/wiki/Walter_Benjamin', 'https://en.wikipedia.org/wiki/Arnold_Schoenberg', 'https://en.wikipedia.org/wiki/Alban_Berg', 'https://en.wikipedia.org/wiki/Charles_Baudelaire', 'https://en.wikipedia.org/wiki/Marcel_Proust', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Oswald_Spengler', 'https://en.wikipedia.org/wiki/Siegfried_Kracauer', 'https://en.wikipedia.org/wiki/Thomas_Mann']","['https://en.wikipedia.org/wiki/J%C3%BCrgen_Habermas', 'https://en.wikipedia.org/wiki/Herbert_Marcuse', 'https://en.wikipedia.org/wiki/Max_Horkheimer', 'https://en.wikipedia.org/wiki/Fredric_Jameson', 'https://en.wikipedia.org/wiki/Raymond_Geuss', 'https://en.wikipedia.org/wiki/Judith_Butler', 'https://en.wikipedia.org/wiki/Alain_Badiou', 'https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek', 'https://en.wikipedia.org/wiki/Walter_Benjamin', 'https://en.wikipedia.org/wiki/Judith_Butler', 'https://en.wikipedia.org/wiki/Max_Horkheimer', 'https://en.wikipedia.org/wiki/Fredric_Jameson', 'https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek']",Theodor W. Adorno,1903
https://en.wikipedia.org/wiki/Aenesidemus,"['https://en.wikipedia.org/wiki/Pyrrho', 'https://en.wikipedia.org/wiki/Timon_(philosopher)', 'https://en.wikipedia.org/wiki/Heraclitus']","['https://en.wikipedia.org/wiki/Sextus_Empiricus', 'https://en.wikipedia.org/wiki/Favorinus', 'https://en.wikipedia.org/wiki/Plutarch', 'https://en.wikipedia.org/wiki/Agrippa_the_Sceptic', 'https://en.wikipedia.org/wiki/Sextus_Empiricus']",Aenesidemus,-100
https://en.wikipedia.org/wiki/Jamal_al-Din_al-Afghani,"['https://en.wikipedia.org/wiki/Alpharabius', 'https://en.wikipedia.org#cite_note-Keddie-6', 'https://en.wikipedia.org/wiki/Avicenna', 'https://en.wikipedia.org#cite_note-Iranica-7', 'https://en.wikipedia.org/wiki/Averroes', 'https://en.wikipedia.org#cite_note-Iranica-7', 'https://en.wikipedia.org/wiki/Avempace', 'https://en.wikipedia.org#cite_note-Keddie-6', 'https://en.wikipedia.org/wiki/Shahab_al-Din_Suhrawardi', 'https://en.wikipedia.org#cite_note-Keddie-6', 'https://en.wikipedia.org/wiki/Mir_Damad', 'https://en.wikipedia.org#cite_note-Keddie-6', 'https://en.wikipedia.org/wiki/Mulla_Sadra', 'https://en.wikipedia.org#cite_note-Keddie-6']","['https://en.wikipedia.org/wiki/Muhammad_Abduh', 'https://en.wikipedia.org#cite_note-Iranica-7', 'https://en.wikipedia.org/wiki/Rashid_Rida', 'https://en.wikipedia.org/wiki/Maulana_Azad', 'https://en.wikipedia.org/wiki/Saad_Zaghloul', 'https://en.wikipedia.org#cite_note-Iranica-7', 'https://en.wikipedia.org/wiki/Mirza_Reza_Kermani', 'https://en.wikipedia.org#cite_note-Iranica-7']",Jamāl al-Dīn al-Afghānī,1839
https://en.wikipedia.org/wiki/Agrippa_the_Sceptic,"['https://en.wikipedia.org/wiki/Pyrrho', 'https://en.wikipedia.org/wiki/Timon_of_Phlius', 'https://en.wikipedia.org/wiki/Aenesidemus']","['https://en.wikipedia.org/wiki/Sextus_Empiricus', 'https://en.wikipedia.org/wiki/Sextus_Empiricus']",Agrippa the Skeptic,100
https://en.wikipedia.org/wiki/Albertus_Magnus,"['https://en.wikipedia.org/wiki/Plato', 'https://en.wikipedia.org#cite_note-3', 'https://en.wikipedia.org/wiki/Aristotle', 'https://en.wikipedia.org/wiki/Avicenna', 'https://en.wikipedia.org/wiki/Plotinus', 'https://en.wikipedia.org/wiki/Proclus', 'https://en.wikipedia.org/wiki/Pseudo-Dionysius', 'https://en.wikipedia.org/wiki/Al-Farabi', 'https://en.wikipedia.org/wiki/Averroes', 'https://en.wikipedia.org/wiki/Avicebron', 'https://en.wikipedia.org/wiki/Maimonides', 'https://en.wikipedia.org/wiki/Jordan_of_Saxony', 'https://en.wikipedia.org#cite_note-4']","['https://en.wikipedia.org/wiki/Thomas_Aquinas', 'https://en.wikipedia.org/wiki/Scholasticism', 'https://en.wikipedia.org/wiki/Meister_Eckhart', 'https://en.wikipedia.org/wiki/Nicholas_of_Cusa', 'https://en.wikipedia.org/wiki/Thomas_Aquinas', 'https://en.wikipedia.org/wiki/Nicholas_of_Cusa', 'https://en.wikipedia.org/wiki/Paul_of_Venice']",Albertus Magnus,1200
https://en.wikipedia.org/wiki/Alcmaeon_of_Croton,['https://en.wikipedia.org/wiki/Pythagoras'],"['https://en.wikipedia.org/wiki/Calcidius', 'https://en.wikipedia.org/wiki/Aristotle', 'https://en.wikipedia.org/wiki/Favorinus', 'https://en.wikipedia.org/wiki/Stobaeus', 'https://en.wikipedia.org/wiki/Plutarch', 'https://en.wikipedia.org/wiki/Galen', 'https://en.wikipedia.org/wiki/Empedocles']",Alcmaeon of Croton,-510
https://en.wikipedia.org/wiki/Samuel_Alexander,"['https://en.wikipedia.org/wiki/F._H._Bradley', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/T._H._Green', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Immanuel_Kant', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Bertrand_Russell', 'https://en.wikipedia.org#cite_note-SEP-1', 'https://en.wikipedia.org/wiki/Baruch_Spinoza', 'https://en.wikipedia.org#cite_note-SEP-1']","['https://en.wikipedia.org/wiki/John_Anderson_(philosopher)', 'https://en.wikipedia.org/wiki/Alfred_North_Whitehead', 'https://en.wikipedia.org/wiki/John_Anderson_(philosopher)']",Samuel Alexander,1859
